UID         PID   PPID  C STIME TTY          TIME CMD
root       1682      2  0  2016 ?        00:00:00 [xfs-log/dm-2]
root       1683      2  0  2016 ?        00:00:00 [xfs-eofblocks/d]
root       1688      2  0  2016 ?        00:03:52 [xfsaild/dm-2]
root       1690      2  0  2016 ?        00:00:00 [jbd2/dm-3-8]
root       1691      2  0  2016 ?        00:00:00 [ext4-rsv-conver]
root       1728      1  0  2016 ?        00:00:23 /sbin/auditd -n
root       1740   1728  0  2016 ?        00:00:18 /sbin/audispd
root       1743   1740  0  2016 ?        00:00:09 /usr/sbin/sedispatch
dbus       1745      1  0  2016 ?        00:01:45 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       1747      2  0  2016 ?        00:00:00 [kworker/31:1H]
root       1755      1  0  2016 ?        00:00:00 /usr/bin/python -Es /usr/sbin/firewalld --nofork --nopid
root       1756      1  0  2016 ?        00:01:50 /sbin/rngd -f
root       1758      1  0  2016 ?        00:00:00 /usr/sbin/abrtd -d -s
chrony     1765      1  0  2016 ?        00:00:02 /usr/sbin/chronyd
root       1771      1  0  2016 ?        00:00:00 /usr/sbin/ModemManager
avahi      1779      1  0  2016 ?        00:01:28 avahi-daemon: running [login-students.local]
root       1783      1  0  2016 ?        00:00:00 /usr/sbin/mcelog --ignorenodev --daemon --foreground
root       1793      2  0  2016 ?        00:00:00 [kworker/30:1H]
root       1808      1  0  2016 ?        00:00:00 /usr/sbin/restorecond
avahi      1809   1779  0  2016 ?        00:00:00 avahi-daemon: chroot helper
root       1814      1  0  2016 ?        00:00:00 /usr/sbin/gssproxy -D
root       1818      1  0  2016 ?        00:00:18 /usr/bin/abrt-dump-journal-oops -fxtD
root       1849      1  0  2016 ?        00:00:37 /usr/sbin/sssd -D -f
root       1866   1849  0  2016 ?        00:24:50 /usr/libexec/sssd/sssd_be --domain default --uid 0 --gid 0 --debug-to-files
root       1885   1849  0  2016 ?        00:01:04 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --debug-to-files
root       1886   1849  0  2016 ?        00:00:38 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --debug-to-files
root       1887   1849  0  2016 ?        00:00:47 /usr/libexec/sssd/sssd_autofs --uid 0 --gid 0 --debug-to-files
root       1888   1849  0  2016 ?        00:00:15 /usr/libexec/sssd/sssd_ssh --uid 0 --gid 0 --debug-to-files
root       1904      1  0  2016 ?        00:00:32 /usr/lib/systemd/systemd-logind
root       2095      1  0  2016 ?        00:01:31 /usr/sbin/NetworkManager --no-daemon
polkitd    2447      1  0  2016 ?        00:00:09 /usr/lib/polkit-1/polkitd --no-debug
root       2659   2095  0  2016 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-eno1.pid -lf /var/lib/NetworkManager/dhclient-abf4c85b-57cc-4484-4fa9-b4a71689c359-eno1.lease -cf /var/lib/NetworkManager/dhclient-eno1.conf eno1
root       2701      1  0  2016 ?        00:06:15 python /usr/bin/goferd --foreground
root       2706      1  0  2016 ?        00:00:13 /usr/sbin/sshd -D
root       2714      1  0  2016 ?        00:00:02 /usr/sbin/libvirtd
root       2715      1  0  2016 ?        00:01:59 /usr/bin/python -Es /usr/sbin/tuned -l -P
root       2724      1  0  2016 ?        00:00:42 /usr/bin/ruby-mri /usr/bin/puppet agent --no-daemonize
root       2734      1  0  2016 ?        00:00:00 /usr/bin/rhsmcertd
root       2738      1  0  2016 ?        00:00:41 /usr/sbin/automount --pid-file /run/autofs.pid
rpcuser    2752      1  0  2016 ?        00:00:00 /usr/sbin/rpc.statd --no-notify
rpc        2785      1  0  2016 ?        00:00:01 /sbin/rpcbind -w
root       2813      2  0  2016 ?        00:00:00 [nfsiod]
root       2833      2  0  2016 ?        00:00:00 [lockd]
root       2863      1  0  2016 ?        00:05:34 /usr/bin/python2 -s /usr/bin/fail2ban-server -s /var/run/fail2ban/fail2ban.sock -p /var/run/fail2ban/fail2ban.pid -x -b
root       2869      1  0  2016 ?        00:00:00 /usr/sbin/atd -f
root       2881      1  0  2016 ?        00:00:03 /usr/sbin/crond -n
root       2997      1  0  2016 ?        00:00:06 /usr/libexec/postfix/master -w
postfix    3002   2997  0  2016 ?        00:00:01 qmgr -l -t unix -u
nobody     3112      1  0  2016 ?        00:00:00 /sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       3113   3112  0  2016 ?        00:00:00 /sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root       3630      1  0  2016 ?        00:00:00 /usr/sbin/cupsd -l
spaul      5324 147323  0 Jan04 pts/7    00:00:00 ssh barbadior
tonyg     12979      1  0 Jan09 ?        00:00:08 /usr/lib/systemd/systemd --user
tonyg     12982  12979  0 Jan09 ?        00:00:00 (sd-pam)
tonyg     12987      1  0 Jan09 ?        00:00:02 gpg-agent --use-standard-socket --daemon
root      16673   2706  0 Jan04 ?        00:00:00 sshd: phoenix [priv]
phoenix   16686      1  0 Jan04 ?        00:00:20 /usr/lib/systemd/systemd --user
phoenix   16689  16686  0 Jan04 ?        00:00:00 (sd-pam)
phoenix   16691  16673  0 Jan04 ?        00:00:00 sshd: phoenix@pts/5
phoenix   16692  16691  0 Jan04 pts/5    00:00:00 -bash
gene      19633  44191  0 Jan09 pts/0    00:00:18 mutt
root      30834   2706  0 Jan09 ?        00:00:00 sshd: phoenix [priv]
phoenix   30838  30834  0 Jan09 ?        00:00:00 sshd: phoenix@pts/16
phoenix   30839  30838  0 Jan09 pts/16   00:00:00 -bash
jlarisch  33248      1  0 Jan09 ?        00:00:06 /usr/lib/systemd/systemd --user
jlarisch  33254  33248  0 Jan09 ?        00:00:00 (sd-pam)
jlarisch  33631      1  0 Jan09 ?        00:00:26 tmux
jlarisch  33632  33631  0 Jan09 pts/27   00:00:00 -bash
root      44180   2706  0  2016 ?        00:00:00 sshd: gene [priv]
gene      44185      1  0  2016 ?        00:00:30 /usr/lib/systemd/systemd --user
gene      44188  44185  0  2016 ?        00:00:00 (sd-pam)
gene      44190  44180  0  2016 ?        00:00:15 sshd: gene@pts/0
gene      44191  44190  0  2016 pts/0    00:00:00 -tcsh
root      44316   2706  0 Jan09 ?        00:00:00 sshd: borkin [priv]
borkin    44318      1  0 Jan09 ?        00:00:05 /usr/lib/systemd/systemd --user
borkin    44322  44318  0 Jan09 ?        00:00:00 (sd-pam)
borkin    44327  44316  0 Jan09 ?        00:00:00 sshd: borkin@notty
borkin    44328  44327  0 Jan09 ?        00:00:00 /usr/libexec/openssh/sftp-server
root      44381   2706  0 Jan09 ?        00:00:00 sshd: borkin [priv]
borkin    44386  44381  0 Jan09 ?        00:00:00 sshd: borkin@notty
borkin    44387  44386  0 Jan09 ?        00:00:00 /usr/libexec/openssh/sftp-server
root      50741   2706  0 Jan09 ?        00:00:00 sshd: abhilashk [priv]
abhilas+  50743      1  0 Jan09 ?        00:00:04 /usr/lib/systemd/systemd --user
abhilas+  50748  50743  0 Jan09 ?        00:00:00 (sd-pam)
abhilas+  50753  50741  0 Jan09 ?        00:00:00 sshd: abhilashk@notty
abhilas+  50754  50753  0 Jan09 ?        00:00:00 /usr/libexec/openssh/sftp-server
root      51242   2706  0 Jan09 ?        00:00:00 sshd: abhilashk [priv]
abhilas+  51245  51242  0 Jan09 ?        00:00:00 sshd: abhilashk@notty
abhilas+  51246  51245  0 Jan09 ?        00:00:00 /usr/libexec/openssh/sftp-server
root      69701      1  0  2016 ?        00:01:24 /usr/libexec/packagekitd
root      82918   2706  0 09:35 ?        00:00:00 sshd: jdec [priv]
jdec      82920      1  0 09:35 ?        00:00:03 /usr/lib/systemd/systemd --user
jdec      82923  82920  0 09:35 ?        00:00:00 (sd-pam)
jdec      82928  82918  0 09:35 ?        00:00:00 sshd: jdec@pts/8
jdec      82929  82928  0 09:35 ?        00:00:00 /usr/libexec/openssh/sftp-server
jdec      83091  82928  0 09:39 pts/8    00:00:00 -bash
root      83826   2706  0 09:53 ?        00:00:00 sshd: pgust [priv]
pgust     83828      1  0 09:53 ?        00:00:03 /usr/lib/systemd/systemd --user
pgust     83833  83828  0 09:53 ?        00:00:00 (sd-pam)
pgust     83844  83826  0 09:53 ?        00:00:00 sshd: pgust@notty
